epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
75,2401.27,1.31376,1.26234,2.90636,0.01324,0.52495,0.76673,0.68651,0.74354,0.39119,0.79532,0.71256,0.77306,0.41041,1.63328,1.40682,3.32993,0.02366,0,0.00125992,0.00125992,0.00125992
76,2429.05,1.34748,1.19544,2.89115,0.01431,0.55371,0.79202,0.67432,0.73735,0.39313,0.81737,0.69996,0.75308,0.37852,1.56455,1.3371,3.33174,0.02305,0,0.00125442,0.00125442,0.00125442
77,2457,1.30422,1.17604,2.8361,0.01404,0.49012,0.76951,0.70084,0.7137,0.39105,0.78372,0.71857,0.72898,0.37714,1.5402,1.40094,3.63017,0.02282,0,0.00124892,0.00124892,0.00124892
78,2484.67,1.27113,1.16206,2.88185,0.01294,0.48476,0.77253,0.67011,0.70982,0.38636,0.79763,0.69333,0.72463,0.38196,1.54482,1.38703,3.57905,0.02266,0,0.00124342,0.00124342,0.00124342
79,2512.39,1.25524,1.16329,2.79423,0.01326,0.49141,0.76819,0.69775,0.72511,0.39467,0.78146,0.70217,0.73229,0.37063,1.53222,1.44718,3.70401,0.02139,0,0.00123791,0.00123791,0.00123791
80,2540.05,1.27432,1.22483,2.81153,0.01264,0.45325,0.74151,0.68692,0.73022,0.38325,0.76537,0.69155,0.73026,0.3766,1.54108,1.4091,3.47882,0.02127,0,0.00123241,0.00123241,0.00123241
81,2568.07,1.3046,1.21934,2.84557,0.01406,0.53131,0.7446,0.67077,0.68852,0.38035,0.8052,0.70173,0.72855,0.37668,1.4795,1.471,3.66121,0.02125,0,0.00122691,0.00122691,0.00122691
82,2595.84,1.32058,1.19126,2.74198,0.01368,0.56423,0.74548,0.70348,0.73449,0.40202,0.74534,0.70192,0.71894,0.38186,1.44325,1.49349,3.32176,0.01913,0,0.00122141,0.00122141,0.00122141
83,2623.56,1.34157,1.27894,2.80589,0.01421,0.55975,0.76548,0.70733,0.72968,0.38382,0.79154,0.69953,0.7333,0.35975,1.60558,1.53286,3.36628,0.0233,0,0.00121591,0.00121591,0.00121591
84,2651.51,1.28774,1.13943,2.70417,0.01362,0.48374,0.76037,0.68857,0.7165,0.40179,0.79528,0.70956,0.73806,0.40128,1.50463,1.40171,4.00993,0.02124,0,0.00121041,0.00121041,0.00121041
